GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
400C100US00037,00037,"Abbeville, LA Urban Cluster (2010)",19917,641
400C100US00064,00064,"Abbeville, SC Urban Cluster (2010)",5087,232
400C100US00091,00091,"Abbotsford, WI Urban Cluster (2010)",3349,275
400C100US00118,00118,"Aberdeen, MS Urban Cluster (2010)",4710,245
400C100US00145,00145,"Aberdeen, SD Urban Cluster (2010)",26208,109
400C100US00172,00172,"Aberdeen, WA Urban Cluster (2010)",29868,504
400C100US00199,00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)",213210,1303
400C100US00226,00226,"Abernathy, TX Urban Cluster (2010)",2589,381
400C100US00253,00253,"Abilene, KS Urban Cluster (2010)",7090,134
400C100US00280,00280,"Abilene, TX Urbanized Area (2010)",110397,653
400C100US00334,00334,"Abingdon, IL Urban Cluster (2010)",3185,238
400C100US00388,00388,"Ada, OH Urban Cluster (2010)",5977,272
400C100US00415,00415,"Ada, OK Urban Cluster (2010)",16979,328
400C100US00450,00450,"Adams, NY Urban Cluster (2010)",2309,402
400C100US00469,00469,"Adel, GA Urban Cluster (2010)",7419,403
400C100US00496,00496,"Adel, IA Urban Cluster (2010)",3340,179
400C100US00577,00577,"Adrian, MI Urban Cluster (2010)",45020,691
400C100US00658,00658,"Ahoskie, NC Urban Cluster (2010)",4888,141
400C100US00676,00676,"Air Force Academy, CO Urban Cluster (2010)",3492,360
400C100US00712,00712,"Ajo, AZ Urban Cluster (2010)",3290,392
400C100US00739,00739,"Akron, NY Urban Cluster (2010)",2910,54
400C100US00766,00766,"Akron, OH Urbanized Area (2010)",569093,1656
400C100US00793,00793,"Alachua, FL Urban Cluster (2010)",3883,557
400C100US00820,00820,"Alamogordo, NM Urban Cluster (2010)",31494,387
400C100US00847,00847,"Alamosa, CO Urban Cluster (2010)",10154,345
400C100US00901,00901,"Albany, GA Urbanized Area (2010)",95369,1139
400C100US00921,00921,"Albany, MN Urban Cluster (2010)",2563,64
400C100US00955,00955,"Albany, OR Urbanized Area (2010)",57102,559
400C100US00970,00970,"Albany--Schenectady, NY Urbanized Area (2010)",596668,1927
400C100US00982,00982,"Albemarle, NC Urban Cluster (2010)",17130,390
400C100US01009,01009,"Albert Lea, MN Urban Cluster (2010)",17797,124
400C100US01036,01036,"Albertville, AL Urban Cluster (2010)",36759,1060
400C100US01063,01063,"Albia, IA Urban Cluster (2010)",3706,62
400C100US01090,01090,"Albion, MI Urban Cluster (2010)",9150,153
400C100US01117,01117,"Albion, NY Urban Cluster (2010)",8272,391
400C100US01144,01144,"Albion, PA Urban Cluster (2010)",4304,258
400C100US01171,01171,"Albuquerque, NM Urbanized Area (2010)",741981,1672
400C100US01198,01198,"Alderson, WV Urban Cluster (2010)",2295,334
400C100US01225,01225,"Aledo, IL Urban Cluster (2010)",3739,156
400C100US01232,01232,"Aledo, TX Urban Cluster (2010)",5331,333
400C100US01252,01252,"Alexander City, AL Urban Cluster (2010)",9448,648
400C100US01279,01279,"Alexandria, LA Urbanized Area (2010)",82349,1254
400C100US01306,01306,"Alexandria, MN Urban Cluster (2010)",17363,359
400C100US01333,01333,"Alfred, NY Urban Cluster (2010)",4545,211
400C100US01360,01360,"Algoma, WI Urban Cluster (2010)",3026,138
400C100US01387,01387,"Algona, IA Urban Cluster (2010)",5356,99
400C100US01414,01414,"Alice, TX Urban Cluster (2010)",21745,577
400C100US01441,01441,"Allegan, MI Urban Cluster (2010)",6240,366
400C100US01468,01468,"Allendale, SC Urban Cluster (2010)",3231,286
400C100US01495,01495,"Allentown, PA--NJ Urbanized Area (2010)",664615,1768
400C100US01522,01522,"Alliance, NE Urban Cluster (2010)",8519,25
400C100US01549,01549,"Alliance, OH Urban Cluster (2010)",32330,484
400C100US01603,01603,"Alma, GA Urban Cluster (2010)",3468,315
400C100US01630,01630,"Alma--St. Louis, MI Urban Cluster (2010)",17127,325
400C100US01657,01657,"Almont, MI Urban Cluster (2010)",2753,79
400C100US01684,01684,"Alpena, MI Urban Cluster (2010)",14066,306
400C100US01711,01711,"Alpine, TX Urban Cluster (2010)",5918,138
400C100US01738,01738,"Altavista, VA Urban Cluster (2010)",4662,296
400C100US01765,01765,"Alton, IL--MO Urbanized Area (2010)",83986,638
400C100US01792,01792,"Altoona, PA Urbanized Area (2010)",81184,859
400C100US01819,01819,"Alturas, CA Urban Cluster (2010)",2630,183
400C100US01846,01846,"Altus, OK Urban Cluster (2010)",19719,187
400C100US01873,01873,"Alva, OK Urban Cluster (2010)",5524,302
400C100US01900,01900,"Alvarado, TX Urban Cluster (2010)",3888,286
400C100US01927,01927,"Amarillo, TX Urbanized Area (2010)",194765,751
400C100US01981,01981,"American Falls, ID Urban Cluster (2010)",4382,18
400C100US02008,02008,"Americus, GA Urban Cluster (2010)",18667,567
400C100US02035,02035,"Amery, WI Urban Cluster (2010)",2836,87
400C100US02062,02062,"Ames, IA Urbanized Area (2010)",61129,487
400C100US02116,02116,"Amite City, LA Urban Cluster (2010)",6278,621
400C100US02143,02143,"Amory, MS Urban Cluster (2010)",6522,274
400C100US02170,02170,"Amsterdam, NY Urban Cluster (2010)",21839,374
400C100US02197,02197,"Anaconda-Deer Lodge County, MT Urban Cluster (2010)",6231,449
400C100US02224,02224,"Anacortes, WA Urban Cluster (2010)",16633,172
400C100US02251,02251,"Anadarko, OK Urban Cluster (2010)",6117,239
400C100US02278,02278,"Anamosa, IA Urban Cluster (2010)",5602,108
400C100US02305,02305,"Anchorage, AK Urbanized Area (2010)",250105,1198
400C100US02332,02332,"Anchorage Northeast, AK Urban Cluster (2010)",28913,1091
400C100US02359,02359,"Andalusia, AL Urban Cluster (2010)",6601,382
400C100US02386,02386,"Anderson, IN Urbanized Area (2010)",87463,864
400C100US02413,02413,"Anderson, SC Urbanized Area (2010)",76472,1413
400C100US02440,02440,"Andrews, SC Urban Cluster (2010)",4317,509
400C100US02467,02467,"Andrews, TX Urban Cluster (2010)",12619,358
400C100US02494,02494,"Angels, CA Urban Cluster (2010)",3728,93
400C100US02548,02548,"Angola, IN Urban Cluster (2010)",11283,402
400C100US02575,02575,"Anna, IL Urban Cluster (2010)",6057,299
400C100US02581,02581,"Anna, TX Urban Cluster (2010)",10851,540
400C100US02590,02590,"Annandale, MN Urban Cluster (2010)",3265,30
400C100US02602,02602,"Ann Arbor, MI Urbanized Area (2010)",308004,1267
400C100US02629,02629,"Anniston--Oxford, AL Urbanized Area (2010)",79794,1070
400C100US02656,02656,"Antigo, WI Urban Cluster (2010)",8166,169
400C100US02683,02683,"Antioch, CA Urbanized Area (2010)",278183,1413
400C100US02710,02710,"Apalachicola, FL Urban Cluster (2010)",3672,445
400C100US02764,02764,"Appleton, WI Urbanized Area (2010)",215927,935
400C100US02773,02773,"Apple Valley, OH Urban Cluster (2010)",5045,416
400C100US02791,02791,"Arab, AL Urban Cluster (2010)",7713,362
400C100US02825,02825,"Arbuckle, CA Urban Cluster (2010)",3063,421
400C100US02845,02845,"Arcade, NY Urban Cluster (2010)",3008,359
400C100US02899,02899,"Arcadia, LA Urban Cluster (2010)",2856,112
400C100US02901,02901,"Arcadia, WI Urban Cluster (2010)",2972,135
400C100US02912,02912,"Arcadia--Southeast Arcadia, FL Urban Cluster (2010)",18045,1042
400C100US02926,02926,"Arcata-McKinleyville, CA Urban Cluster (2010)",34083,921
400C100US02953,02953,"Archbold, OH Urban Cluster (2010)",4624,291
400C100US02965,02965,"Archer Lodge--Clayton, NC Urban Cluster (2010)",12815,1188
400C100US02980,02980,"Arcola, IL Urban Cluster (2010)",2836,205
400C100US03007,03007,"Ardmore, OK Urban Cluster (2010)",20864,476
400C100US03088,03088,"Arizona City, AZ Urban Cluster (2010)",8026,1224
400C100US03115,03115,"Arkadelphia, AR Urban Cluster (2010)",10521,156
400C100US03142,03142,"Arkansas City, KS Urban Cluster (2010)",12700,255
400C100US03158,03158,"Arlington, TN Urban Cluster (2010)",11263,502
400C100US03196,03196,"Arroyo Grande--Grover Beach, CA Urbanized Area (2010)",53386,1029
400C100US03223,03223,"Artesia, NM Urban Cluster (2010)",12463,483
400C100US03250,03250,"Arvin, CA Urban Cluster (2010)",19428,93
400C100US03277,03277,"Ashburn, GA Urban Cluster (2010)",4173,320
400C100US03304,03304,"Ashdown, AR Urban Cluster (2010)",4307,298
400C100US03331,03331,"Asheboro, NC Urban Cluster (2010)",37779,1012
400C100US03358,03358,"Asheville, NC Urbanized Area (2010)",282102,2675
400C100US03365,03365,"Ashland, MO Urban Cluster (2010)",3640,51
400C100US03375,03375,"Ashland, NE Urban Cluster (2010)",2521,176
400C100US03385,03385,"Ashland, OH Urban Cluster (2010)",20239,178
400C100US03395,03395,"Ashland, PA Urban Cluster (2010)",7741,401
400C100US03412,03412,"Ashland, WI Urban Cluster (2010)",7350,177
400C100US03439,03439,"Ashland City, TN Urban Cluster (2010)",3054,376
400C100US03466,03466,"Ashtabula, OH Urban Cluster (2010)",29185,449
400C100US03493,03493,"Ashville, OH Urban Cluster (2010)",6358,277
400C100US03520,03520,"Aspen, CO Urban Cluster (2010)",7431,229
