,GEOID,Area,PopGroup,Year,Pop000,PopRank,PeakTravel,Commuters,FwyVMT,FwyLaneMi,ArtVMT,ArtLaneMi,PTVMT,PTTrips,VOT,CommVOT,Gasoline,Diesel,VMTCongested,LaneMiCongested,TimeCongested,ExcGas,ExcGasRank,ExcPCGas,ExcPCGasRank,Delay,DelayRank,DelayPC,DelayPCRank,TTI,TTIRank,CSI,CSIRank,RCI
1,400C100US00766,Akron OH,Med,2007,620,65,341,320,5530,430,4385,1190,26.3,6.9,15.47,82.56,2.88,3.35,28,25,2.5,5417,78,10,91,11021,73,25,81,1.17,62,1.19,67,0.88
2,400C100US00970,Albany NY,Med,2007,595,67,327,307,7005,615,5260,1170,47.9,12.9,15.47,82.56,3.19,3.71,28,35,3.25,11225,51,25,19,16666,55,44,26,1.24,27,1.26,35,0.83
3,400C100US01171,Albuquerque NM,Med,2007,595,67,327,307,4875,350,7470,1590,33.3,9.6,15.47,82.56,3.24,3.61,44,40,4.75,7887,60,19,45,16489,57,40,42,1.17,62,1.19,67,0.98
4,400C100US01495,Allentown-Bethlehem PA-NJ,Med,2007,625,62,344,322,4935,420,5630,965,26.2,5.7,15.47,82.56,2.87,3.56,38,41,2.5,6835,66,14,74,14432,62,33,58,1.19,54,1.21,58,0.93
5,400C100US02305,Anchorage AK,Sml,2007,290,95,160,150,1560,195,2220,395,28.1,4.5,15.47,82.56,3.15,3.4,21,32,1.5,3132,87,16,64,5951,89,26,78,1.21,44,1.23,49,0.76
6,400C100US03817,Atlanta GA,Vlg,2007,4130,9,2205,1985,47830,2600,44800,7570,911.1,158.5,15.47,82.56,2.92,3.29,75,58,6.25,72952,10,30,7,148675,10,60,5,1.28,15,1.37,12,1.28
7,400C100US04384,Austin TX,Lrg,2007,1160,37,650,603,12200,805,11000,1740,136.6,34,15.47,82.56,2.92,3.3,61,47,5.25,19326,32,27,15,39459,31,52,11,1.31,7,1.32,18,1.13
8,400C100US04681,Bakersfield CA,Med,2007,510,76,281,263,2275,200,4600,1085,27.4,6.4,15.47,82.56,3.24,3.6,27,26,2.5,2100,97,6,99,2620,99,7,101,1.12,84,1.14,87,0.83
9,400C100US04843,Baltimore MD,Lrg,2007,2450,17,1372,1275,26670,1560,18555,3255,698.1,109.4,15.47,82.56,3,3.43,69,51,5.25,36238,15,21,37,72198,16,44,26,1.24,27,1.25,42,1.21
10,400C100US05680,Baton Rouge LA,Med,2007,585,70,322,301,4280,275,7675,1440,17.1,4.3,15.47,82.56,2.92,3.28,41,37,5,13866,44,37,1,14533,61,39,46,1.19,54,1.26,35,1.09
11,400C100US06058,Beaumont TX,Sml,2007,240,97,132,124,3000,235,3250,885,2.9,0.7,15.47,82.56,2.92,3.3,16,15,1.5,3031,88,18,54,4324,92,28,71,1.07,99,1.08,101,0.86
12,400C100US07786,Birmingham AL,Med,2007,820,52,451,423,9715,680,7630,1530,18,3.9,15.47,82.56,2.9,3.27,44,37,3.5,12048,48,22,30,21152,48,39,46,1.19,54,1.21,58,1.02
13,400C100US08785,Boise ID,Sml,2007,295,94,163,153,1620,120,4045,760,5.5,1.2,15.47,82.56,3.22,3.67,38,46,3,2284,96,10,91,4204,93,20,91,1.09,91,1.3,23,1.01
14,400C100US09271,Boston MA-NH-RI,Vlg,2007,4205,8,2115,1904,40000,2600,35515,7200,1764.5,364.2,15.47,82.56,2.98,3.53,58,40,7.5,78480,7,30,7,153481,9,58,6,1.4,3,1.42,3,1.07
15,400C100US09298,Boulder CO,Sml,2007,145,101,80,75,700,65,1125,205,0,0,15.47,82.56,3.2,3.68,27,33,3,2455,95,26,18,3603,95,38,50,1.18,58,1.2,62,0.89
16,400C100US10162,Bridgeport-Stamford CT-NY,Med,2007,905,50,498,466,10550,625,6230,1375,27,10.5,15.47,82.56,3.23,3.66,64,42,5,16743,37,28,12,35127,35,58,6,1.28,15,1.28,29,1.15
17,400C100US10972,Brownsville TX,Sml,2007,195,100,108,101,800,75,1600,390,15.7,1.8,15.47,82.56,2.92,3.3,19,26,1.5,1262,100,7,97,2090,101,16,96,1.31,7,1.33,15,0.79
18,400C100US11350,Buffalo NY,Lrg,2007,1060,39,509,473,6760,735,9645,2380,84.3,24.2,15.47,82.56,3.19,3.71,22,25,4,13107,47,18,54,26786,44,41,35,1.2,48,1.22,52,0.71
19,400C100US13510,Cape Coral FL,Sml,2007,460,81,254,238,1845,135,6155,880,18.4,3.2,15.47,82.56,2.98,3.36,41,37,3,8943,56,29,9,12206,68,40,42,1.21,44,1.23,49,1.21
20,400C100US15508,Charleston-North Charleston SC,Med,2007,495,78,272,255,3645,270,6170,860,16.5,4,15.47,82.56,2.82,3.2,45,43,5,6013,73,19,45,11119,72,35,56,1.17,62,1.21,58,1.14
21,400C100US15670,Charlotte NC-SC,Lrg,2007,990,45,554,515,11775,790,9420,1475,105.9,20.4,15.47,82.56,2.95,3.33,60,50,4.75,18505,33,27,15,27257,43,42,34,1.24,27,1.27,30,1.11
22,400C100US16264,Chicago IL-IN,Vlg,2007,8440,3,4566,3840,55150,3075,50200,13250,4025.1,619.4,15.47,82.56,3.24,3.52,79,62,6.25,126129,3,25,19,261581,3,54,9,1.27,20,1.32,18,1.15
23,400C100US16885,Cincinnati OH-KY-IN,Lrg,2007,1670,28,949,854,18990,1270,12175,2800,148,30,15.47,82.56,2.88,3.35,51,36,4,26419,23,21,37,56237,21,49,19,1.21,44,1.23,49,1.03
24,400C100US17668,Cleveland OH,Lrg,2007,1770,25,984,883,18120,1430,12005,3080,276.3,65,15.47,82.56,2.88,3.35,28,23,4,15595,40,15,69,29565,40,26,78,1.18,58,1.2,62,0.88
25,400C100US18856,Colorado Springs CO,Med,2007,520,74,286,268,4065,345,5200,1310,26.7,3.7,15.47,82.56,3.2,3.68,32,27,4.5,6293,70,19,45,12673,65,36,54,1.16,67,1.19,67,0.83
26,400C100US18964,Columbia SC,Sml,2007,455,82,251,235,5895,460,5180,1030,11.9,2.3,15.47,82.56,2.82,3.2,33,35,1.5,5642,76,17,60,10332,74,33,58,1.12,84,1.13,91,0.94
27,400C100US19234,Columbus OH,Lrg,2007,1225,36,686,637,15210,975,10160,2150,57.9,15,15.47,82.56,2.88,3.35,57,43,4,15271,41,18,54,31951,38,37,53,1.16,67,1.18,71,1.08
28,400C100US20287,Corpus Christi TX,Sml,2007,325,92,179,168,3110,330,2760,725,20,5.2,15.47,82.56,2.92,3.3,15,24,1.5,1362,99,6,99,3207,96,15,98,1.03,101,1.16,79,0.69
29,400C100US22042,Dallas-Fort Worth-Arlington TX,Vlg,2007,4860,6,2892,2747,63300,3610,46000,9280,504.5,82.2,15.47,82.56,2.92,3.3,67,43,6,73489,9,22,30,161651,8,48,20,1.31,7,1.35,14,1.2
30,400C100US22528,Dayton OH,Med,2007,745,53,410,384,7360,580,6250,1510,45.1,11,15.47,82.56,2.88,3.35,34,29,2.5,7653,61,16,64,11681,71,22,88,1.11,87,1.13,91,0.89
31,400C100US23527,Denver-Aurora CO,Lrg,2007,2180,21,1358,1283,20395,1320,22925,3715,538,94.2,15.47,82.56,3.2,3.68,67,54,6.5,31985,17,20,42,70457,17,44,26,1.3,10,1.33,15,1.14
